time,Computers,Copper,Glass,Oil,Plastic,Rubber,Rupyulars,Steel,Vehicles,Weapons
1587544454,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587544515,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587544575,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587544635,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587544695,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587544755,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587544815,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587544875,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587544936,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587544996,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587545056,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587545116,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587545176,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587545236,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587545297,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587545357,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587545417,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587545477,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587545537,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587545597,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587545657,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587545718,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587545778,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587545838,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587545898,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587545958,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587546018,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587546079,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587546139,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587546199,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587546259,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587546319,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587546379,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587546440,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587546500,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587546560,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587546620,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587546680,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587546740,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587546801,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587546861,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587546921,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587546981,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587547041,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587547101,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587547161,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587547222,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587547282,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587547342,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587547402,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587547462,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587547522,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587547583,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587547643,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587547703,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587547763,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587547823,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587547883,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587547944,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587548004,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587548064,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587548124,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587548184,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587548244,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587548305,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587548365,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587548425,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587548485,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587548545,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587548605,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587548666,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587548726,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587548786,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587548846,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587548906,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587548966,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587549027,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587549087,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587549147,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587549207,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587549267,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587549327,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587549387,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587549448,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587549508,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587549568,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587549628,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587549688,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587549748,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587549809,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587549869,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587549929,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587549989,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587550049,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587550109,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587550170,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587550230,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587550290,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587550350,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587550410,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587550470,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587550530,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587550591,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
1587550651,124.75509,8.41563,25.02804,1.23082,8.4158,12.65889,1,8.61572,5.96439,23.95683
